trimestre,Branca,Preta,Parda
1ºtri/2012,5668,1983,2449
2ºtri/2012,5026,2072,2514
3ºtri/2012,5219,1754,2508
4ºtri/2012,5060,1884,2562
1ºtri/2013,4368,2108,2607
2ºtri/2013,4743,1948,2746
3ºtri/2013,4377,1948,2412
4ºtri/2013,4877,1966,2560
1ºtri/2014,4238,2013,2680
2ºtri/2014,4468,2128,2657
3ºtri/2014,5144,2061,2713
4ºtri/2014,4894,2365,2481
1ºtri/2015,4200,2263,3028
2ºtri/2015,4533,2232,2887
3ºtri/2015,4742,2223,2668
4ºtri/2015,4652,2053,2545
1ºtri/2016,5098,1967,2847
2ºtri/2016,4332,1926,2379
3ºtri/2016,4681,1809,2404
4ºtri/2016,4614,1930,2663
1ºtri/2017,4565,2007,2583
2ºtri/2017,5724,1989,2600
3ºtri/2017,4173,1897,2373
4ºtri/2017,5650,1880,3487
1ºtri/2018,5794,2016,2899
2ºtri/2018,6285,1796,2909
3ºtri/2018,5633,2049,2828
4ºtri/2018,6348,2066,2974
1ºtri/2019,5104,2152,2718
2ºtri/2019,5191,2036,2569
3ºtri/2019,4754,1991,2703
4ºtri/2019,5356,1970,3175
1ºtri/2020,4744,1987,3440
