trimestre,Homens,Mulheres
1ºtri/2012,3322,2326
2ºtri/2012,3276,2237
3ºtri/2012,3133,2215
4ºtri/2012,3157,2270
1ºtri/2013,3225,2122
2ºtri/2013,3313,2278
3ºtri/2013,3039,2137
4ºtri/2013,3337,2182
1ºtri/2014,3257,2318
2ºtri/2014,3263,2349
3ºtri/2014,3403,2497
4ºtri/2014,3238,2429
1ºtri/2015,3424,2502
2ºtri/2015,3321,2535
3ºtri/2015,3163,2517
4ºtri/2015,3052,2309
1ºtri/2016,3197,2499
2ºtri/2016,2838,2220
3ºtri/2016,2938,2129
4ºtri/2016,3059,2307
1ºtri/2017,3011,2288
2ºtri/2017,3361,2380
3ºtri/2017,2891,2096
4ºtri/2017,4009,2345
1ºtri/2018,3671,2328
2ºtri/2018,3440,2449
3ºtri/2018,3255,2785
4ºtri/2018,3453,2881
1ºtri/2019,3293,2425
2ºtri/2019,3342,2248
3ºtri/2019,3267,2365
4ºtri/2019,3769,2370
1ºtri/2020,3792,2466
